full_match,partial_match,total,date
21,0,21,2026-05-27
25,0,25,2026-05-28
33,0,33,2026-05-29
36,0,36,2026-05-30
37,0,37,2026-05-31
38,0,38,2026-06-01
38,0,38,2026-06-02
44,0,44,2026-06-03
52,0,52,2026-06-04
63,0,63,2026-06-05
65,0,65,2026-06-06
66,0,66,2026-06-07
66,0,66,2026-06-08
66,0,66,2026-06-09
67,0,67,2026-06-10
73,18,91,2026-06-11
73,18,91,2026-06-12
73,18,91,2026-06-13
73,18,91,2026-06-14
73,18,91,2026-06-15
73,18,91,2026-06-16
73,18,91,2026-06-17
74,18,92,2026-06-18
74,18,92,2026-06-19
74,18,92,2026-06-20
74,18,92,2026-06-21
74,18,92,2026-06-22
76,18,94,2026-06-23
76,18,94,2026-06-24
79,18,97,2026-06-25
80,18,98,2026-06-26
89,18,107,2026-06-27
93,18,111,2026-06-28
93,18,111,2026-06-29
93,18,111,2026-06-30
94,18,112,2026-07-01
94,18,112,2026-07-02
94,18,112,2026-07-03
94,18,112,2026-07-04
94,18,112,2026-07-05
94,18,112,2026-07-06
94,18,112,2026-07-07
94,18,112,2026-07-08
94,18,112,2026-07-09
94,18,112,2026-07-10
94,18,112,2026-07-11
94,18,112,2026-07-12
94,18,112,2026-07-13
94,18,112,2026-07-14
94,18,112,2026-07-15
94,18,112,2026-07-16
114,19,133,2026-07-17
114,19,133,2026-07-18
114,19,133,2026-07-19
120,19,139,2026-07-20
120,19,139,2026-07-21
126,19,145,2026-07-22
126,19,145,2026-07-23
126,19,145,2026-07-24
126,19,145,2026-07-25
126,19,145,2026-07-26
126,19,145,2026-07-27
126,19,145,2026-07-28
128,19,147,2026-07-29
132,19,151,2026-07-30
137,19,156,2026-07-31
141,19,160,2026-08-01
141,19,160,2026-08-02
141,20,161,2026-08-03
141,20,161,2026-08-04
141,20,161,2026-08-05
141,20,161,2026-08-06
145,20,165,2026-08-07
168,20,188,2026-08-08
211,20,231,2026-08-09
212,20,232,2026-08-10
212,20,232,2026-08-11
212,20,232,2026-08-12
237,32,269,2026-08-13
237,32,269,2026-08-14
237,32,269,2026-08-15
237,32,269,2026-08-16
237,32,269,2026-08-17
239,32,271,2026-08-18
239,32,271,2026-08-19
240,32,272,2026-08-20
240,32,272,2026-08-21
240,32,272,2026-08-22
240,32,272,2026-08-23
240,32,272,2026-08-24
