full_match,partial_match,total,date
2,0,2,2026-05-29
2,0,2,2026-05-30
2,0,2,2026-05-31
2,0,2,2026-06-01
2,0,2,2026-06-02
2,0,2,2026-06-03
2,0,2,2026-06-04
2,0,2,2026-06-05
2,0,2,2026-06-06
3,0,3,2026-06-07
4,0,4,2026-06-08
5,0,5,2026-06-09
5,0,5,2026-06-10
5,0,5,2026-06-11
5,0,5,2026-06-12
5,0,5,2026-06-13
5,0,5,2026-06-14
5,0,5,2026-06-15
6,0,6,2026-06-16
6,0,6,2026-06-17
6,0,6,2026-06-18
6,0,6,2026-06-19
6,0,6,2026-06-20
6,0,6,2026-06-21
6,0,6,2026-06-22
6,0,6,2026-06-23
6,0,6,2026-06-24
6,0,6,2026-06-25
6,0,6,2026-06-26
6,0,6,2026-06-27
6,0,6,2026-06-28
6,0,6,2026-06-29
6,0,6,2026-06-30
7,0,7,2026-07-01
7,0,7,2026-07-02
7,0,7,2026-07-03
7,0,7,2026-07-04
7,0,7,2026-07-05
7,0,7,2026-07-06
7,0,7,2026-07-07
7,0,7,2026-07-08
7,0,7,2026-07-09
7,0,7,2026-07-10
7,0,7,2026-07-11
7,0,7,2026-07-12
7,0,7,2026-07-13
7,0,7,2026-07-14
7,0,7,2026-07-15
7,0,7,2026-07-16
51,0,51,2026-07-17
51,0,51,2026-07-18
51,0,51,2026-07-19
