full_match,partial_match,total,date
17,7,24,2024-05-18
17,7,24,2024-05-19
17,7,24,2024-05-20
17,7,24,2024-05-21
17,7,24,2024-05-22
17,7,24,2024-05-23
23,7,30,2024-05-24
23,7,30,2024-05-25
27,7,34,2024-05-26
27,7,34,2024-05-27
29,7,36,2024-05-28
29,7,36,2024-05-29
29,7,36,2024-05-30
29,7,36,2024-05-31
29,7,36,2024-06-01
29,7,36,2024-06-02
29,7,36,2024-06-03
29,7,36,2024-06-04
29,7,36,2024-06-05
29,7,36,2024-06-06
29,7,36,2024-06-07
29,7,36,2024-06-16
29,7,36,2024-06-17
29,7,36,2024-06-18
29,7,36,2024-06-19
29,7,36,2024-06-20
29,7,36,2024-06-21
29,7,36,2024-06-22
29,7,36,2024-06-23
29,7,36,2024-06-24
29,7,36,2024-06-25
29,7,36,2024-06-26
29,7,36,2024-06-27
29,7,36,2024-06-28
29,7,36,2024-06-29
29,7,36,2024-06-30
29,7,36,2024-07-01
29,7,36,2024-07-02
29,7,36,2024-07-03
29,7,36,2024-07-04
29,7,36,2024-07-05
29,7,36,2024-07-06
29,7,36,2024-07-07
29,7,36,2024-07-08
29,7,36,2024-07-09
29,7,36,2024-07-10
29,7,36,2024-07-11
29,7,36,2024-07-12
29,7,36,2024-07-13
29,7,36,2024-07-14
29,7,36,2024-07-15
29,7,36,2024-07-16
29,7,36,2024-07-17
29,7,36,2024-07-18
29,7,36,2024-07-19
29,7,36,2024-07-20
29,7,36,2024-07-21
29,7,36,2024-07-22
29,7,36,2024-07-23
29,7,36,2024-07-24
29,7,36,2024-07-25
29,7,36,2024-07-26
29,7,36,2024-07-27
29,7,36,2024-07-28
29,7,36,2024-07-29
29,7,36,2024-07-30
29,7,36,2024-07-31
29,7,36,2024-08-01
29,7,36,2024-08-02
29,7,36,2024-08-03
29,7,36,2024-08-04
29,7,36,2024-08-05
29,7,36,2024-08-06
29,7,36,2024-08-07
29,7,36,2024-08-08
29,7,36,2024-08-09
29,7,36,2024-08-10
29,7,36,2024-08-11
29,7,36,2024-08-12
29,7,36,2024-08-13
29,7,36,2024-08-14
29,7,36,2024-08-15
29,7,36,2024-08-16
29,7,36,2024-08-17
29,7,36,2024-08-18
29,7,36,2024-08-19
29,7,36,2024-08-20
29,7,36,2024-08-21
29,7,36,2024-08-22
29,7,36,2024-08-23
29,7,36,2024-08-24
29,7,36,2024-08-25
29,7,36,2024-08-26
29,7,36,2024-08-27
29,7,36,2024-08-28
29,7,36,2024-08-29
29,7,36,2024-08-30
29,7,36,2024-08-31
29,7,36,2024-09-01
29,7,36,2024-09-02
29,7,36,2024-09-03
29,7,36,2024-09-04
29,7,36,2024-09-05
29,7,36,2024-09-06
29,7,36,2024-09-07
29,7,36,2024-09-08
29,7,36,2024-09-09
29,7,36,2024-09-10
29,7,36,2024-09-11
29,7,36,2024-09-12
29,7,36,2024-09-13
29,7,36,2024-09-14
29,7,36,2024-09-15
29,7,36,2024-09-16
29,7,36,2024-09-17
29,7,36,2024-09-18
29,7,36,2024-09-19
29,7,36,2024-09-20
29,7,36,2024-09-21
29,7,36,2024-09-22
29,7,36,2024-09-23
29,7,36,2024-09-24
29,7,36,2024-09-25
29,7,36,2024-09-26
29,7,36,2024-09-27
29,7,36,2024-09-28
29,7,36,2024-09-29
29,7,36,2024-09-30
29,7,36,2024-10-01
29,7,36,2024-10-02
29,7,36,2024-10-03
29,7,36,2024-10-04
29,7,36,2024-10-05
29,7,36,2024-10-06
29,7,36,2024-10-07
29,7,36,2024-10-08
29,7,36,2024-10-09
29,7,36,2024-10-10
29,7,36,2024-10-11
29,7,36,2024-10-12
29,7,36,2024-10-13
29,7,36,2024-10-14
29,7,36,2024-10-15
29,7,36,2024-10-16
29,7,36,2024-10-17
29,7,36,2024-10-18
29,7,36,2024-10-19
29,7,36,2024-10-20
29,7,36,2024-10-21
