full_match,partial_match,total,date
100,14,114,2023-04-11
101,14,115,2023-04-12
101,14,115,2023-04-13
101,14,115,2023-04-14
102,15,117,2023-04-15
102,15,117,2023-04-16
102,15,117,2023-04-17
102,15,117,2023-04-18
103,15,118,2023-04-19
103,15,118,2023-04-20
105,15,120,2023-04-21
105,15,120,2023-04-22
105,15,120,2023-04-23
105,15,120,2023-04-24
105,15,120,2023-04-25
106,15,121,2023-04-26
106,15,121,2023-04-27
106,15,121,2023-04-28
106,15,121,2023-04-29
106,15,121,2023-04-30
106,15,121,2023-05-01
106,15,121,2023-05-02
106,15,121,2023-05-03
109,15,124,2023-05-04
110,15,125,2023-05-05
110,15,125,2023-05-06
110,15,125,2023-05-07
110,15,125,2023-05-08
110,15,125,2023-05-09
110,15,125,2023-05-10
111,15,126,2023-05-11
111,15,126,2023-05-12
111,15,126,2023-05-13
111,15,126,2023-05-14
