full_match,partial_match,total,date
4,4,8,2024-10-31
4,4,8,2024-11-01
4,4,8,2024-11-02
4,4,8,2024-11-03
4,4,8,2024-11-04
4,4,8,2024-11-05
4,4,8,2024-11-06
4,4,8,2024-11-07
4,4,8,2024-11-08
4,5,9,2024-11-09
4,5,9,2024-11-10
4,5,9,2024-11-11
4,5,9,2024-11-12
4,5,9,2024-11-13
4,5,9,2024-11-14
4,5,9,2024-11-15
4,5,9,2024-11-16
19,5,24,2024-11-17
19,5,24,2024-11-18
19,5,24,2024-11-19
19,5,24,2024-11-20
19,5,24,2024-11-21
19,5,24,2024-11-22
19,5,24,2024-11-23
19,5,24,2024-11-24
19,5,24,2024-11-25
19,5,24,2024-11-26
19,5,24,2024-11-27
19,5,24,2024-11-28
19,5,24,2024-11-29
19,5,24,2024-11-30
19,5,24,2024-12-01
19,5,24,2024-12-02
19,5,24,2024-12-03
19,5,24,2024-12-04
19,5,24,2024-12-05
19,5,24,2024-12-06
19,5,24,2024-12-07
19,5,24,2024-12-08
19,5,24,2024-12-09
32,5,37,2024-12-10
32,5,37,2024-12-11
32,5,37,2024-12-12
32,5,37,2024-12-13
32,5,37,2024-12-14
32,5,37,2024-12-15
33,5,38,2024-12-16
34,5,39,2024-12-17
34,5,39,2024-12-18
34,5,39,2024-12-19
34,5,39,2024-12-20
34,5,39,2024-12-21
34,5,39,2024-12-22
34,5,39,2024-12-23
34,5,39,2024-12-24
34,5,39,2024-12-25
34,5,39,2024-12-26
34,5,39,2024-12-27
34,5,39,2024-12-28
34,5,39,2024-12-29
34,5,39,2024-12-30
34,5,39,2024-12-31
34,5,39,2025-01-01
34,5,39,2025-01-02
34,5,39,2025-01-03
34,5,39,2025-01-04
34,5,39,2025-01-05
34,5,39,2025-01-06
34,5,39,2025-01-07
34,5,39,2025-01-08
34,5,39,2025-01-09
34,5,39,2025-01-10
34,5,39,2025-01-11
34,5,39,2025-01-12
34,5,39,2025-01-13
34,5,39,2025-01-14
34,5,39,2025-01-15
34,5,39,2025-01-16
34,5,39,2025-01-17
34,5,39,2025-01-18
34,5,39,2025-01-19
34,5,39,2025-01-20
34,5,39,2025-01-21
34,5,39,2025-01-22
34,5,39,2025-01-23
34,5,39,2025-01-24
34,5,39,2025-01-25
34,5,39,2025-01-26
37,5,42,2025-01-27
38,5,43,2025-01-28
38,5,43,2025-01-29
40,6,46,2025-01-30
40,6,46,2025-01-31
41,6,47,2025-02-01
41,6,47,2025-02-02
43,6,49,2025-02-03
45,6,51,2025-02-04
45,6,51,2025-02-05
