full_match,partial_match,total,date
99,16,115,2024-04-06
99,16,115,2024-04-07
99,16,115,2024-04-08
99,16,115,2024-04-09
99,16,115,2024-04-10
99,17,116,2024-04-11
99,17,116,2024-04-12
100,17,117,2024-04-13
100,17,117,2024-04-14
100,17,117,2024-04-15
100,17,117,2024-04-16
100,17,117,2024-04-17
100,17,117,2024-04-18
100,17,117,2024-04-19
102,17,119,2024-04-20
102,17,119,2024-04-21
109,17,126,2024-04-22
109,17,126,2024-04-23
109,17,126,2024-04-24
109,16,125,2024-04-30
109,16,125,2024-05-01
110,16,126,2024-05-02
110,16,126,2024-05-03
110,16,126,2024-05-04
110,16,126,2024-05-05
111,16,127,2024-05-06
111,16,127,2024-05-07
111,16,127,2024-05-08
111,16,127,2024-05-09
111,16,127,2024-05-10
111,16,127,2024-05-11
