full_match,partial_match,total,date
8,2,10,2023-04-11
8,2,10,2023-04-12
8,2,10,2023-04-13
8,2,10,2023-04-14
8,2,10,2023-04-15
8,2,10,2023-04-16
8,2,10,2023-04-17
8,2,10,2023-04-18
8,2,10,2023-04-19
8,2,10,2023-04-20
8,2,10,2023-04-21
8,2,10,2023-04-22
8,2,10,2023-04-23
8,4,12,2023-04-24
8,4,12,2023-04-25
9,3,12,2023-04-26
9,3,12,2023-04-27
9,3,12,2023-04-28
9,3,12,2023-04-29
9,3,12,2023-04-30
9,3,12,2023-05-01
9,3,12,2023-05-02
9,3,12,2023-05-03
9,3,12,2023-05-04
9,3,12,2023-05-05
9,3,12,2023-05-06
9,3,12,2023-05-07
9,3,12,2023-05-08
9,3,12,2023-05-09
9,3,12,2023-05-10
9,3,12,2023-05-11
9,3,12,2023-05-12
9,3,12,2023-05-13
9,3,12,2023-05-14
9,3,12,2023-05-15
9,3,12,2023-05-16
9,3,12,2023-05-17
9,3,12,2023-05-18
9,3,12,2023-05-19
9,3,12,2023-05-20
9,3,12,2023-05-21
9,3,12,2023-05-22
9,3,12,2023-05-23
9,3,12,2023-05-24
9,3,12,2023-05-25
9,3,12,2023-05-26
9,3,12,2023-05-27
9,3,12,2023-05-28
10,3,13,2023-05-29
10,3,13,2023-05-30
10,3,13,2023-05-31
10,3,13,2023-06-01
10,3,13,2023-06-02
10,3,13,2023-06-03
10,3,13,2023-06-04
10,3,13,2023-06-05
10,3,13,2023-06-06
10,3,13,2023-06-07
10,3,13,2023-06-08
10,3,13,2023-06-09
10,3,13,2023-06-10
10,3,13,2023-06-11
10,3,13,2023-06-12
10,3,13,2023-06-13
10,3,13,2023-06-14
10,3,13,2023-06-15
10,3,13,2023-06-16
10,3,13,2023-06-17
10,3,13,2023-06-18
10,3,13,2023-06-19
10,3,13,2023-06-20
10,3,13,2023-06-21
10,3,13,2023-06-22
10,3,13,2023-06-23
10,3,13,2023-06-24
10,3,13,2023-06-25
10,3,13,2023-06-26
10,3,13,2023-06-27
10,3,13,2023-06-28
10,3,13,2023-06-29
10,3,13,2023-06-30
10,3,13,2023-07-01
10,3,13,2023-07-02
10,3,13,2023-07-03
10,3,13,2023-07-04
10,3,13,2023-07-05
10,3,13,2023-07-06
10,3,13,2023-07-07
10,3,13,2023-07-08
10,3,13,2023-07-09
10,3,13,2023-07-10
10,3,13,2023-07-11
10,3,13,2023-07-12
10,3,13,2023-07-13
10,3,13,2023-07-14
10,3,13,2023-07-15
10,3,13,2023-07-16
10,3,13,2023-07-17
10,3,13,2023-07-18
10,3,13,2023-07-19
10,3,13,2023-07-20
10,3,13,2023-07-21
10,3,13,2023-07-22
10,3,13,2023-07-23
10,3,13,2023-07-24
10,3,13,2023-07-25
10,3,13,2023-07-26
10,3,13,2023-07-27
10,3,13,2023-07-28
13,3,16,2023-07-29
13,3,16,2023-07-30
13,3,16,2023-07-31
13,3,16,2023-08-01
13,3,16,2023-08-02
13,3,16,2023-08-03
13,3,16,2023-08-04
13,3,16,2023-08-05
13,3,16,2023-08-06
15,3,18,2023-08-07
15,3,18,2023-08-08
15,3,18,2023-08-09
17,3,20,2023-08-10
17,3,20,2023-08-11
17,3,20,2023-08-12
