full_match,partial_match,total,date
1597,40,1637,2023-04-11
1597,40,1637,2023-04-12
1598,40,1638,2023-04-13
1603,40,1643,2023-04-14
1603,40,1643,2023-04-15
1606,40,1646,2023-04-16
1611,40,1651,2023-04-17
1614,41,1655,2023-04-18
1622,41,1663,2023-04-19
1622,41,1663,2023-04-20
1624,41,1665,2023-04-21
1627,41,1668,2023-04-22
1627,41,1668,2023-04-23
1627,41,1668,2023-04-24
1629,41,1670,2023-04-25
1629,41,1670,2023-04-26
1630,41,1671,2023-04-27
1638,41,1679,2023-04-28
1642,41,1683,2023-04-29
1645,41,1686,2023-04-30
1648,41,1689,2023-05-01
1648,41,1689,2023-05-02
1648,41,1689,2023-05-03
1649,41,1690,2023-05-04
1670,42,1712,2023-05-05
1677,42,1719,2023-05-06
1681,42,1723,2023-05-07
1681,42,1723,2023-05-08
1692,42,1734,2023-05-09
1696,42,1738,2023-05-10
1721,42,1763,2023-05-11
1724,42,1766,2023-05-12
1739,42,1781,2023-05-13
1770,42,1812,2023-05-14
1771,42,1813,2023-05-15
1772,42,1814,2023-05-16
1787,43,1830,2023-05-17
1823,43,1866,2023-05-18
1833,43,1876,2023-05-19
1836,43,1879,2023-05-20
1836,43,1879,2023-05-21
1836,43,1879,2023-05-22
1849,43,1892,2023-05-23
1852,43,1895,2023-05-24
1855,43,1898,2023-05-25
1855,43,1898,2023-05-26
1855,43,1898,2023-05-27
1860,43,1903,2023-05-28
1861,43,1904,2023-05-29
1863,43,1906,2023-05-30
1866,43,1909,2023-05-31
1871,43,1914,2023-06-01
1878,44,1922,2023-06-02
1884,44,1928,2023-06-03
1885,45,1930,2023-06-04
1886,45,1931,2023-06-05
1889,45,1934,2023-06-06
1891,45,1936,2023-06-07
1893,45,1938,2023-06-08
1893,45,1938,2023-06-09
1894,46,1940,2023-06-10
1897,46,1943,2023-06-11
1898,46,1944,2023-06-12
1911,46,1957,2023-06-13
1922,46,1968,2023-06-14
1927,46,1973,2023-06-15
1934,49,1983,2023-06-16
1940,50,1990,2023-06-17
1951,54,2005,2023-06-18
1953,54,2007,2023-06-19
1960,54,2014,2023-06-20
1970,54,2024,2023-06-21
1977,54,2031,2023-06-22
1990,58,2048,2023-06-23
1995,58,2053,2023-06-24
1996,58,2054,2023-06-25
1998,58,2056,2023-06-26
1999,58,2057,2023-06-27
2010,58,2068,2023-06-28
2013,58,2071,2023-06-29
2027,58,2085,2023-06-30
2032,58,2090,2023-07-01
2034,58,2092,2023-07-02
2039,58,2097,2023-07-03
2048,58,2106,2023-07-04
2052,58,2110,2023-07-05
2058,58,2116,2023-07-06
2065,58,2123,2023-07-07
2070,58,2128,2023-07-08
2074,59,2133,2023-07-09
2078,59,2137,2023-07-10
2088,60,2148,2023-07-11
2094,60,2154,2023-07-12
2094,60,2154,2023-07-13
2094,60,2154,2023-07-14
2094,60,2154,2023-07-15
2094,60,2154,2023-07-16
2094,60,2154,2023-07-17
2094,60,2154,2023-07-18
2094,60,2154,2023-07-19
2094,60,2154,2023-07-20
2094,60,2154,2023-07-21
2094,60,2154,2023-07-22
2094,60,2154,2023-07-23
2094,60,2154,2023-07-24
2094,60,2154,2023-07-25
2094,60,2154,2023-07-26
2094,60,2154,2023-07-27
2094,60,2154,2023-07-28
2238,71,2309,2023-07-29
2241,72,2313,2023-07-30
2249,73,2322,2023-07-31
2253,73,2326,2023-08-01
2287,73,2360,2023-08-02
2294,74,2368,2023-08-03
2298,74,2372,2023-08-04
2303,75,2378,2023-08-05
2312,75,2387,2023-08-06
2316,75,2391,2023-08-07
2330,76,2406,2023-08-08
2333,76,2409,2023-08-09
2340,76,2416,2023-08-10
2340,76,2416,2023-08-11
2350,76,2426,2023-08-12
2355,76,2431,2023-08-13
2355,76,2431,2023-08-14
2378,76,2454,2023-08-15
2388,77,2465,2023-08-16
2390,77,2467,2023-08-17
2390,77,2467,2023-08-18
2401,78,2479,2023-08-19
2404,78,2482,2023-08-20
2405,78,2483,2023-08-21
2407,78,2485,2023-08-22
2407,78,2485,2023-08-23
2407,78,2485,2023-08-24
2407,78,2485,2023-08-25
2407,78,2485,2023-08-26
2407,78,2485,2023-08-27
2407,78,2485,2023-08-28
2407,78,2485,2023-08-29
