full_match,partial_match,total,date
8069,76,8145,2023-04-11
8069,76,8145,2023-04-12
8069,76,8145,2023-04-13
8070,76,8146,2023-04-14
8070,76,8146,2023-04-15
8070,76,8146,2023-04-16
8070,76,8146,2023-04-17
8070,76,8146,2023-04-18
8070,76,8146,2023-04-19
8070,76,8146,2023-04-20
8073,76,8149,2023-04-21
8077,76,8153,2023-04-22
8077,76,8153,2023-04-23
8077,76,8153,2023-04-24
8077,76,8153,2023-04-25
8078,77,8155,2023-04-26
8078,77,8155,2023-04-27
8078,77,8155,2023-04-28
8078,79,8157,2023-04-29
8078,79,8157,2023-04-30
8082,79,8161,2023-05-01
8083,79,8162,2023-05-02
8083,79,8162,2023-05-03
8085,79,8164,2023-05-04
8087,80,8167,2023-05-05
8087,80,8167,2023-05-06
8088,80,8168,2023-05-07
8088,80,8168,2023-05-08
8088,80,8168,2023-05-09
8089,80,8169,2023-05-10
8089,80,8169,2023-05-11
8090,80,8170,2023-05-12
8093,80,8173,2023-05-13
8099,81,8180,2023-05-14
8099,81,8180,2023-05-15
8099,81,8180,2023-05-16
8099,81,8180,2023-05-17
8119,81,8200,2023-05-18
8121,81,8202,2023-05-19
8121,81,8202,2023-05-20
8121,81,8202,2023-05-21
8121,81,8202,2023-05-22
8122,81,8203,2023-05-23
8125,81,8206,2023-05-24
8125,81,8206,2023-05-25
8126,81,8207,2023-05-26
