full_match,partial_match,total,date
1,0,1,2025-05-09
1,0,1,2025-05-10
1,0,1,2025-05-11
1,0,1,2025-05-12
1,0,1,2025-05-13
1,0,1,2025-05-14
1,0,1,2025-05-15
1,0,1,2025-05-16
5,0,5,2025-05-17
5,0,5,2025-05-18
5,0,5,2025-05-19
5,0,5,2025-05-20
5,0,5,2025-05-21
5,0,5,2025-05-22
5,0,5,2025-05-23
5,0,5,2025-05-24
5,0,5,2025-05-25
5,0,5,2025-05-26
5,0,5,2025-05-27
5,0,5,2025-05-28
5,0,5,2025-05-29
5,0,5,2025-05-30
5,0,5,2025-05-31
5,0,5,2025-06-01
5,0,5,2025-06-02
5,0,5,2025-06-03
5,0,5,2025-06-04
5,0,5,2025-06-05
5,0,5,2025-06-06
5,0,5,2025-06-07
5,0,5,2025-06-08
5,0,5,2025-06-09
5,0,5,2025-06-10
5,0,5,2025-06-11
6,0,6,2025-06-12
6,0,6,2025-06-13
6,0,6,2025-06-14
6,0,6,2025-06-15
6,0,6,2025-06-16
6,0,6,2025-06-17
6,0,6,2025-06-18
6,0,6,2025-06-19
6,0,6,2025-06-20
6,0,6,2025-06-21
6,0,6,2025-06-22
6,0,6,2025-06-23
6,0,6,2025-06-24
6,0,6,2025-06-25
6,0,6,2025-06-26
6,0,6,2025-06-27
6,0,6,2025-06-28
6,0,6,2025-06-29
6,0,6,2025-06-30
6,0,6,2025-07-01
6,0,6,2025-07-02
6,0,6,2025-07-03
6,0,6,2025-07-04
6,0,6,2025-07-05
6,0,6,2025-07-06
6,0,6,2025-07-07
6,0,6,2025-07-08
6,0,6,2025-07-09
6,0,6,2025-07-10
6,0,6,2025-07-11
6,0,6,2025-07-12
6,0,6,2025-07-13
6,0,6,2025-07-14
6,0,6,2025-07-15
6,0,6,2025-07-16
6,0,6,2025-07-17
6,0,6,2025-07-18
6,0,6,2025-07-19
6,0,6,2025-07-20
6,0,6,2025-07-21
6,0,6,2025-07-22
6,0,6,2025-07-23
6,0,6,2025-07-24
6,0,6,2025-07-25
7,0,7,2025-07-26
7,0,7,2025-07-27
7,0,7,2025-07-28
7,0,7,2025-07-29
7,0,7,2025-07-30
7,0,7,2025-07-31
7,0,7,2025-08-01
7,0,7,2025-08-02
7,0,7,2025-08-03
7,0,7,2025-08-04
7,0,7,2025-08-05
7,0,7,2025-08-06
10,0,10,2025-08-07
10,0,10,2025-08-08
10,0,10,2025-08-09
10,0,10,2025-08-10
10,0,10,2025-08-11
10,0,10,2025-08-12
10,0,10,2025-08-13
10,0,10,2025-08-14
10,0,10,2025-08-15
10,0,10,2025-08-16
10,0,10,2025-08-17
10,0,10,2025-08-18
10,0,10,2025-08-19
10,0,10,2025-08-20
10,0,10,2025-08-21
10,0,10,2025-08-22
10,0,10,2025-08-23
10,0,10,2025-08-24
10,0,10,2025-08-25
10,0,10,2025-08-26
10,0,10,2025-08-27
10,0,10,2025-08-28
10,0,10,2025-08-29
10,0,10,2025-08-30
10,0,10,2025-08-31
10,0,10,2025-09-01
10,0,10,2025-09-02
10,0,10,2025-09-03
