full_match,partial_match,total,date
28,0,28,2024-04-06
30,3,33,2024-04-07
30,3,33,2024-04-08
30,3,33,2024-04-09
30,3,33,2024-04-10
30,3,33,2024-04-11
30,3,33,2024-04-12
30,3,33,2024-04-13
30,3,33,2024-04-14
30,3,33,2024-04-15
30,3,33,2024-04-16
30,3,33,2024-04-17
30,3,33,2024-04-18
30,3,33,2024-04-19
30,4,34,2024-04-20
30,4,34,2024-04-21
30,4,34,2024-04-22
30,4,34,2024-04-23
30,4,34,2024-04-24
30,4,34,2024-04-30
30,4,34,2024-05-01
30,4,34,2024-05-02
30,4,34,2024-05-03
30,4,34,2024-05-04
30,4,34,2024-05-05
30,4,34,2024-05-06
30,4,34,2024-05-07
30,4,34,2024-05-08
