full_match,partial_match,total,date
6,1,7,2024-04-06
6,1,7,2024-04-07
6,1,7,2024-04-08
6,1,7,2024-04-09
6,1,7,2024-04-10
6,1,7,2024-04-11
6,1,7,2024-04-12
6,1,7,2024-04-13
6,1,7,2024-04-14
6,1,7,2024-04-15
6,1,7,2024-04-16
6,1,7,2024-04-17
6,1,7,2024-04-18
6,1,7,2024-04-19
6,1,7,2024-04-20
6,1,7,2024-04-21
6,1,7,2024-04-22
6,1,7,2024-04-23
6,1,7,2024-04-24
6,1,7,2024-04-30
6,1,7,2024-05-01
6,1,7,2024-05-02
6,1,7,2024-05-03
6,1,7,2024-05-04
6,1,7,2024-05-05
6,1,7,2024-05-06
6,1,7,2024-05-07
6,1,7,2024-05-08
6,1,7,2024-05-09
6,1,7,2024-05-10
6,1,7,2024-05-11
6,1,7,2024-05-12
6,1,7,2024-05-13
6,1,7,2024-05-14
6,1,7,2024-05-15
6,1,7,2024-05-16
6,1,7,2024-05-17
6,1,7,2024-05-18
6,1,7,2024-05-19
6,1,7,2024-05-20
6,1,7,2024-05-21
6,1,7,2024-05-22
6,1,7,2024-05-23
6,1,7,2024-05-24
6,1,7,2024-05-25
6,1,7,2024-05-26
6,1,7,2024-05-27
6,1,7,2024-05-28
6,1,7,2024-05-29
6,1,7,2024-05-30
6,1,7,2024-05-31
6,1,7,2024-06-01
6,1,7,2024-06-02
6,1,7,2024-06-03
6,1,7,2024-06-04
6,1,7,2024-06-05
6,1,7,2024-06-06
6,1,7,2024-06-07
6,1,7,2024-06-16
6,1,7,2024-06-17
6,1,7,2024-06-18
6,1,7,2024-06-19
6,1,7,2024-06-20
6,1,7,2024-06-21
7,1,8,2024-06-22
7,1,8,2024-06-23
7,1,8,2024-06-24
7,1,8,2024-06-25
7,1,8,2024-06-26
11,4,15,2024-06-27
11,4,15,2024-06-28
11,4,15,2024-06-29
11,4,15,2024-06-30
11,4,15,2024-07-01
11,4,15,2024-07-02
11,4,15,2024-07-03
11,4,15,2024-07-04
11,4,15,2024-07-05
11,4,15,2024-07-06
11,4,15,2024-07-07
11,4,15,2024-07-08
11,4,15,2024-07-09
11,4,15,2024-07-10
11,4,15,2024-07-11
12,4,16,2024-07-12
12,4,16,2024-07-13
12,4,16,2024-07-14
12,4,16,2024-07-15
12,4,16,2024-07-16
12,4,16,2024-07-17
12,4,16,2024-07-18
12,4,16,2024-07-19
12,4,16,2024-07-20
12,4,16,2024-07-21
12,4,16,2024-07-22
12,4,16,2024-07-23
12,4,16,2024-07-24
12,4,16,2024-07-25
12,4,16,2024-07-26
12,4,16,2024-07-27
12,4,16,2024-07-28
12,4,16,2024-07-29
12,4,16,2024-07-30
12,4,16,2024-07-31
12,4,16,2024-08-01
12,4,16,2024-08-02
12,4,16,2024-08-03
12,4,16,2024-08-04
12,4,16,2024-08-05
12,4,16,2024-08-06
12,4,16,2024-08-07
12,4,16,2024-08-08
12,4,16,2024-08-09
12,4,16,2024-08-10
13,5,18,2024-08-11
13,5,18,2024-08-12
13,5,18,2024-08-13
13,5,18,2024-08-14
13,5,18,2024-08-15
13,5,18,2024-08-16
13,5,18,2024-08-17
13,5,18,2024-08-18
13,5,18,2024-08-19
13,5,18,2024-08-20
13,5,18,2024-08-21
13,5,18,2024-08-22
13,5,18,2024-08-23
13,5,18,2024-08-24
13,5,18,2024-08-25
13,5,18,2024-08-26
13,5,18,2024-08-27
13,5,18,2024-08-28
13,5,18,2024-08-29
13,5,18,2024-08-30
13,5,18,2024-08-31
13,5,18,2024-09-01
13,5,18,2024-09-02
13,5,18,2024-09-03
13,5,18,2024-09-04
13,5,18,2024-09-05
13,5,18,2024-09-06
13,5,18,2024-09-07
13,5,18,2024-09-08
13,5,18,2024-09-09
14,5,19,2024-09-10
14,5,19,2024-09-11
14,5,19,2024-09-12
14,5,19,2024-09-13
14,5,19,2024-09-14
14,5,19,2024-09-15
14,5,19,2024-09-16
14,5,19,2024-09-17
14,5,19,2024-09-18
14,5,19,2024-09-19
14,5,19,2024-09-20
14,5,19,2024-09-21
14,5,19,2024-09-22
14,5,19,2024-09-23
14,5,19,2024-09-24
14,5,19,2024-09-25
14,5,19,2024-09-26
14,5,19,2024-09-27
14,5,19,2024-09-28
14,5,19,2024-09-29
14,5,19,2024-09-30
14,5,19,2024-10-01
14,5,19,2024-10-02
14,5,19,2024-10-03
14,5,19,2024-10-04
14,5,19,2024-10-05
14,5,19,2024-10-06
14,5,19,2024-10-07
14,5,19,2024-10-08
14,5,19,2024-10-09
14,5,19,2024-10-10
14,5,19,2024-10-11
14,5,19,2024-10-12
14,5,19,2024-10-13
14,5,19,2024-10-14
14,5,19,2024-10-15
14,5,19,2024-10-16
14,5,19,2024-10-17
14,5,19,2024-10-18
14,5,19,2024-10-19
14,5,19,2024-10-20
14,5,19,2024-10-21
14,5,19,2024-10-22
14,5,19,2024-10-23
17,5,22,2024-10-24
17,5,22,2024-10-25
17,5,22,2024-10-26
17,5,22,2024-10-27
17,5,22,2024-10-28
17,5,22,2024-10-29
17,5,22,2024-10-30
17,5,22,2024-10-31
17,5,22,2024-11-01
17,5,22,2024-11-02
17,5,22,2024-11-03
17,5,22,2024-11-04
17,5,22,2024-11-05
17,5,22,2024-11-06
17,5,22,2024-11-07
17,5,22,2024-11-08
17,5,22,2024-11-09
17,5,22,2024-11-10
17,5,22,2024-11-11
17,5,22,2024-11-12
17,5,22,2024-11-13
17,5,22,2024-11-14
17,5,22,2024-11-15
17,5,22,2024-11-16
17,5,22,2024-11-17
17,5,22,2024-11-18
17,5,22,2024-11-19
17,5,22,2024-11-20
17,5,22,2024-11-21
17,5,22,2024-11-22
17,5,22,2024-11-23
17,5,22,2024-11-24
17,5,22,2024-11-25
17,5,22,2024-11-26
17,5,22,2024-11-27
17,5,22,2024-11-28
17,5,22,2024-11-29
17,5,22,2024-11-30
17,5,22,2024-12-01
17,5,22,2024-12-02
17,5,22,2024-12-03
17,5,22,2024-12-04
